ID,Title,Content,SKU,"Product Type",parent_id,"Regular Price"
1914,"Product #1694 Variation",,1694-1914,variable,1694,100
1915,"Product #1694 Variation",,1694-1915,variable,1694,100
1910,"Product #1694 Variation",,1694-1910,variable,1694,100
1911,"Product #1694 Variation",,1694-1911,variable,1694,100
1912,"Product #1694 Variation",,1694-1912,variable,1694,100
1913,"Product #1694 Variation",,1694-1913,variable,1694,100
1905,"Product #1694 Variation",,1694-1905,variable,1694,100
1909,"Product #1694 Variation",,1694-1909,variable,1694,100
1908,"Product #1694 Variation",,1694-1908,variable,1694,100
1907,"Product #1694 Variation",,1694-1907,variable,1694,100
1906,"Product #1694 Variation",,1694-1906,variable,1694,100
1904,"Product #1694 Variation",,1694-1904,variable,1694,100
1900,"Product #1694 Variation",,1694-1900,variable,1694,100
1902,"Product #1694 Variation",,1694-1902,variable,1694,100
1903,"Product #1694 Variation",,1694-1903,variable,1694,100
1901,"Product #1694 Variation",,1694-1901,variable,1694,100
1897,"Product #1694 Variation",,1694-1897,variable,1694,100
1899,"Product #1694 Variation",,1694-1899,variable,1694,100
1895,"Product #1694 Variation",,1694-1895,variable,1694,100
1898,"Product #1694 Variation",,1694-1898,variable,1694,100
1896,"Product #1694 Variation",,1694-1896,variable,1694,100
1892,"Product #1694 Variation",,1694-1892,variable,1694,100
1893,"Product #1694 Variation",,1694-1893,variable,1694,100
1894,"Product #1694 Variation",,1694-1894,variable,1694,100
1889,"Product #1694 Variation",,1694-1889,variable,1694,100
1891,"Product #1694 Variation",,1694-1891,variable,1694,100
1888,"Product #1694 Variation",,1694-1888,variable,1694,100
1887,"Product #1694 Variation",,1694-1887,variable,1694,100
1890,"Product #1694 Variation",,1694-1890,variable,1694,100
1885,"Product #1694 Variation",,1694-1885,variable,1694,100
1884,"Product #1694 Variation",,1694-1884,variable,1694,100
1882,"Product #1694 Variation",,1694-1882,variable,1694,100
1886,"Product #1694 Variation",,1694-1886,variable,1694,100
1883,"Product #1694 Variation",,1694-1883,variable,1694,100
1881,"Product #1694 Variation",,1694-1881,variable,1694,100
1879,"Product #1694 Variation",,1694-1879,variable,1694,100
1880,"Product #1694 Variation",,1694-1880,variable,1694,100
1878,"Product #1694 Variation",,1694-1878,variable,1694,100
1877,"Product #1694 Variation",,1694-1877,variable,1694,100
1876,"Product #1694 Variation",,1694-1876,variable,1694,100
1874,"Product #1694 Variation",,1694-1874,variable,1694,100
1870,"Product #1694 Variation",,1694-1870,variable,1694,100
1871,"Product #1694 Variation",,1694-1871,variable,1694,100
1875,"Product #1694 Variation",,1694-1875,variable,1694,100
1872,"Product #1694 Variation",,1694-1872,variable,1694,100
1873,"Product #1694 Variation",,1694-1873,variable,1694,100
1868,"Product #1694 Variation",,1694-1868,variable,1694,100
1865,"Product #1694 Variation",,1694-1865,variable,1694,100
1867,"Product #1694 Variation",,1694-1867,variable,1694,100
1869,"Product #1694 Variation",,1694-1869,variable,1694,100
1867,"Product #1694 Variation",,1694-1867,variable,1694,100
