id,Title,Content,Excerpt,Date,"Post Type",Permalink,"Parent Product ID",SKU,Price,"Regular Price","Sale Price","Stock Status",Stock,Visibility,"External Product URL","Total Sales","Attribute Name (pa_test)","Attribute Value (pa_test)","Attribute In Variations (pa_test)","Attribute Is Visible (pa_test)","Attribute Is Taxonomy (pa_test)","Attribute Name (pa_trucks)","Attribute Value (pa_trucks)","Attribute In Variations (pa_trucks)","Attribute Is Visible (pa_trucks)","Attribute Is Taxonomy (pa_trucks)","Attribute Name (pa_wheels)","Attribute Value (pa_wheels)","Attribute In Variations (pa_wheels)","Attribute Is Visible (pa_wheels)","Attribute Is Taxonomy (pa_wheels)","Shipping Class","Image URL","Image Title","Image Caption","Image Description","Image Alt Text","Attachment URL","Product Type","Product Categories","Product Tags",Status,Author,Slug,Format,Template,"Parent Slug",Order,"Comment Status","Ping Status","Post Modified Date",Downloadable,Virtual,"Purchase Note",Featured,Weight,Length,Width,Height,"Sale Price Dates From","Sale Price Dates To","Sold IndivIDually","Manage Stock",Up-Sells,Cross-Sells,"Downloadable Files Paths","Downloadable Files Names","Download Limit","Download Expiry","Download Type","Button Text",Backorders,"Tax Status","Tax Class","Product Image Gallery","Default Attributes","Product Attributes","Product Version","Variation Description","WC Rating Count","WC Review Count","WC Average Rating","Min Variation Price","Max Variation Price","Min Price Variation ID","Max Price Variation ID","Min Variation Regular Price","Max Variation Regular Price","Min Regular Price Variation ID","Max Regular Price Variation ID","Min Variation Sale Price","Max Variation Sale Price","Min Sale Price Variation ID","Max Sale Price Variation ID","Out of stock?",Section,"Section 1 - icone","Section 2 - icone","Section 3 - icone","Section 1 -  Titre","Section 2 -  Titre","Section 3 -  Titre","Section 1 - Description","Section 2 - Description","Section 3 - Description","Texte en blanc?",Sous-titre,"Visionneuse haut","Fond de lentête",Longueur,Largeur,Wheelbase,Spécifications,"Spécification en noir","Lien vers le complete","Nom et Nom complet","Tag line",Description,"Grosse image","Position géographique","Username Instagram",Map,"Section gauche","Section droite","Liste des vidéos","Catégorie sélectionnée","Section : Visionneuse","Section : Texte dinformation (titre)","Section : Texte dinformation (texte)","Section : Newsletter","Section : Newsletter (image)","Fond de lentête","Section : Texte dinformation (titre)","Section : Texte dinformation (texte)","Fond de lentête","Section : Texte dinformation (titre)","Section : Texte dinformation (texte)","Fond de l'entête","Section : Texte d'information (titre)","Section : Texte d'information (texte)"
1677,"Hibiscus complete",,,20170402,product,http://www.zenitboards.com/product/the-freeride-complete/?attribute_pa_wheels=zenit-78a-70mm&attribute_pa_trucks=150mmblack,332,332-1677,,,,instock,,,,,Test,,no,no,no,Trucks,"Paris Trucks Black 150mm 50° RKP",yes,yes,yes,Wheels,"Zenit 78a - 70mm",yes,yes,yes,,,,,,,,variable,,,publish,2,the-freeride-complete,,,the-freeride-complete,10,open,closed,20170402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678,"Hibiscus complete",,,20170402,product,http://www.zenitboards.com/product/the-freeride-complete/?attribute_pa_wheels=zenit-78a-70mm&attribute_pa_trucks=paris169tkp,332,332-1678,,,,instock,,,,,Test,,no,no,no,Trucks,"Paris Street Trucks RAW 169mm TKP",yes,yes,yes,Wheels,"Zenit 78a - 70mm",yes,yes,yes,,,,,,,,variable,,,publish,2,the-freeride-complete,,,the-freeride-complete,10,open,closed,20170402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1674,"Hibiscus complete",,,20170402,product,http://www.zenitboards.com/product/the-freeride-complete/?attribute_pa_wheels=zenit-78a-70mm&attribute_pa_trucks=matteblack50,332,332-1674,,,,instock,,,,,Test,,no,no,no,Trucks,"Paris Trucks Matte Black 180mm 50° RKP",yes,yes,yes,Wheels,"Zenit 78a - 70mm",yes,yes,yes,,,,,,,,variable,,,publish,2,the-freeride-complete,,,the-freeride-complete,10,open,closed,20170402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1673,"Hibiscus complete",,,20170402,product,http://www.zenitboards.com/product/the-freeride-complete/?attribute_pa_wheels=zenit-78a-70mm&attribute_pa_trucks=satinblue50,332,332-1673,,,,instock,,,,,Test,,no,no,no,Trucks,"Paris Trucks Satin Blue 180mm 50° RKP",yes,yes,yes,Wheels,"Zenit 78a - 70mm",yes,yes,yes,,,,,,,,variable,,,publish,2,the-freeride-complete,,,the-freeride-complete,10,open,closed,20170402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1675,"Hibiscus complete",,,20170402,product,http://www.zenitboards.com/product/the-freeride-complete/?attribute_pa_wheels=zenit-78a-70mm&attribute_pa_trucks=tiffany50,332,332-1675,,,,instock,,,,,Test,,no,no,no,Trucks,"Paris Trucks Tiffany White 180mm 50° RKP",yes,yes,yes,Wheels,"Zenit 78a - 70mm",yes,yes,yes,,,,,,,,variable,,,publish,2,the-freeride-complete,,,the-freeride-complete,10,open,closed,20170402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1667,"Hibiscus complete",,,20170402,product,http://www.zenitboards.com/product/the-freeride-complete/?attribute_pa_wheels=zenit-78a-70mm&attribute_pa_trucks=savantselectroluxe50,332,332-1667,,,,instock,,,,,Test,,no,no,no,Trucks,"Paris Trucks Savants Electro Luxe 180mm 50° RKP",yes,yes,yes,Wheels,"Zenit 78a - 70mm",yes,yes,yes,,,,,,,,variable,,,publish,2,the-freeride-complete,,,the-freeride-complete,10,open,closed,20170402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1668,"Hibiscus complete",,,20170402,product,http://www.zenitboards.com/product/the-freeride-complete/?attribute_pa_wheels=zenit-78a-70mm&attribute_pa_trucks=gunmetalsavants50,332,332-1668,,,,instock,,,,,Test,,no,no,no,Trucks,"Paris Trucks Savants Gunmetal Grey 180mm 50° RKP",yes,yes,yes,Wheels,"Zenit 78a - 70mm",yes,yes,yes,,,,,,,,variable,,,publish,2,the-freeride-complete,,,the-freeride-complete,10,open,closed,20170402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1670,"Hibiscus complete",,,20170402,product,http://www.zenitboards.com/product/the-freeride-complete/?attribute_pa_wheels=zenit-78a-70mm&attribute_pa_trucks=gold43,332,332-1670,,,,instock,,,,,Test,,no,no,no,Trucks,"Paris Trucks Gold 180mm 43° RKP",yes,yes,yes,Wheels,"Zenit 78a - 70mm",yes,yes,yes,,,,,,,,variable,,,publish,2,the-freeride-complete,,,the-freeride-complete,10,open,closed,20170402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1669,"Hibiscus complete",,,20170402,product,http://www.zenitboards.com/product/the-freeride-complete/?attribute_pa_wheels=zenit-78a-70mm&attribute_pa_trucks=white43,332,332-1669,,,,instock,,,,,Test,,no,no,no,Trucks,"Paris Trucks White 180mm 43° RKP",yes,yes,yes,Wheels,"Zenit 78a - 70mm",yes,yes,yes,,,,,,,,variable,,,publish,2,the-freeride-complete,,,the-freeride-complete,10,open,closed,20170402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1672,"Hibiscus complete",,,20170402,product,http://www.zenitboards.com/product/the-freeride-complete/?attribute_pa_wheels=zenit-78a-70mm&attribute_pa_trucks=mattkienzle,332,332-1672,,,,instock,,,,,Test,,no,no,no,Trucks,"Paris Trucks Matt Kienzle Signature 180mm 50° RKP",yes,yes,yes,Wheels,"Zenit 78a - 70mm",yes,yes,yes,,,,,,,,variable,,,publish,2,the-freeride-complete,,,the-freeride-complete,10,open,closed,20170402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
