id,Title,Content,Excerpt,Date,"Post Type",Permalink,"Parent Product ID",SKU,Price,"Regular Price","Sale Price","Stock Status",Stock,Visibility,"External Product URL","Total Sales","Attribute Name (pa_trucks)","Attribute Value (pa_trucks)","Attribute In Variations (pa_trucks)","Attribute Is Visible (pa_trucks)","Attribute Is Taxonomy (pa_trucks)","Attribute Name (pa_wheels)","Attribute Value (pa_wheels)","Attribute In Variations (pa_wheels)","Attribute Is Visible (pa_wheels)","Attribute Is Taxonomy (pa_wheels)","Shipping Class","Image URL","Image Title","Image Caption","Image Description","Image Alt Text","Attachment URL","Product Type","Product Categories","Product Tags",Status,Author,Slug,Format,Template,"Parent Slug",Order,"Comment Status","Ping Status","Post Modified Date",Downloadable,Virtual,"Purchase Note",Featured,Weight,Length,Width,Height,"Sale Price Dates From","Sale Price Dates To","Sold IndivIDually","Manage Stock",Up-Sells,Cross-Sells,"Downloadable Files Paths","Downloadable Files Names","Download Limit","Download Expiry","Download Type","Button Text",Backorders,"Tax Status","Tax Class","Product Image Gallery","Default Attributes","Product Attributes","Product Version","Variation Description","WC Rating Count","WC Review Count","WC Average Rating","Max Sale Price Variation ID","Min Sale Price Variation ID","Max Variation Sale Price","Min Variation Sale Price","Max Regular Price Variation ID","Min Regular Price Variation ID","Max Variation Regular Price","Min Variation Regular Price","Max Price Variation ID","Min Price Variation ID","Max Variation Price","Min Variation Price","Out of stock?",Section,"Section 1 - icone","Section 2 - icone","Section 3 - icone","Section 1 -  Titre","Section 2 -  Titre","Section 3 -  Titre","Section 1 - Description","Section 2 - Description","Section 3 - Description","Texte en blanc?",Sous-titre,"Visionneuse haut","Fond de lentête",Longueur,Largeur,Wheelbase,Spécifications,"Spécification en noir","Lien vers le complete","Nom et Nom complet","Tag line",Description,"Grosse image","Position géographique","Username Instagram",Map,"Section gauche","Section droite","Liste des vidéos","Catégorie sélectionnée","Section : Visionneuse","Section : Texte dinformation (titre)","Section : Texte dinformation (texte)","Section : Newsletter","Section : Newsletter (image)","Fond de lentête","Section : Texte dinformation (titre)","Section : Texte dinformation (texte)","Fond de lentête","Section : Texte dinformation (titre)","Section : Texte dinformation (texte)","Fond de l'entête","Section : Texte d'information (titre)","Section : Texte d'information (texte)"
1915,"Hibiscus Complet",,,20170405,product,http://www.zenitboards.com/product/hibiscus-complet/?attribute_pa_trucks=independent-forged-titanium-stg-11-169mm&attribute_pa_wheels=zenit-78a-70mm,1694,1694-1915,,,,instock,,,,,Trucks,"Independent - Forged Titanium Stg 11 - 169mm",yes,yes,yes,Wheels,"Zenit 78a - 70mm",yes,yes,yes,,,,,,,,variable,,,publish,3,hibiscus-complet,,,hibiscus-complet,0,open,closed,20170405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1914,"Hibiscus Complet",,,20170405,product,http://www.zenitboards.com/product/hibiscus-complet/?attribute_pa_trucks=independent-forged-titanium-stg-11-169mm&attribute_pa_wheels=zenit-78a-60mm,1694,1694-1914,,,,instock,,,,,Trucks,"Independent - Forged Titanium Stg 11 - 169mm",yes,yes,yes,Wheels,"Zenit 78a - 60mm",yes,yes,yes,,,,,,,,variable,,,publish,3,hibiscus-complet,,,hibiscus-complet,0,open,closed,20170405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1911,"Hibiscus Complet",,,20170405,product,http://www.zenitboards.com/product/hibiscus-complet/?attribute_pa_trucks=independent-forged-titanium-stg-11-169mm&attribute_pa_wheels=skiffs83a,1694,1694-1911,,,,instock,,,,,Trucks,"Independent - Forged Titanium Stg 11 - 169mm",yes,yes,yes,Wheels,"Skiffs 83a",yes,yes,yes,,,,,,,,variable,,,publish,3,hibiscus-complet,,,hibiscus-complet,0,open,closed,20170405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1910,"Hibiscus Complet",,,20170405,product,http://www.zenitboards.com/product/hibiscus-complet/?attribute_pa_trucks=independent-forged-titanium-stg-11-169mm&attribute_pa_wheels=skiffs86a,1694,1694-1910,,,,instock,,,,,Trucks,"Independent - Forged Titanium Stg 11 - 169mm",yes,yes,yes,Wheels,"Skiffs 86a",yes,yes,yes,,,,,,,,variable,,,publish,3,hibiscus-complet,,,hibiscus-complet,0,open,closed,20170405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1913,"Hibiscus Complet",,,20170405,product,http://www.zenitboards.com/product/hibiscus-complet/?attribute_pa_trucks=independent-forged-titanium-stg-11-169mm&attribute_pa_wheels=onsens,1694,1694-1913,,,,instock,,,,,Trucks,"Independent - Forged Titanium Stg 11 - 169mm",yes,yes,yes,Wheels,"Onsen 100a",yes,yes,yes,,,,,,,,variable,,,publish,3,hibiscus-complet,,,hibiscus-complet,0,open,closed,20170405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1912,"Hibiscus Complet",,,20170405,product,http://www.zenitboards.com/product/hibiscus-complet/?attribute_pa_trucks=independent-forged-titanium-stg-11-169mm&attribute_pa_wheels=skiffs80a,1694,1694-1912,,,,instock,,,,,Trucks,"Independent - Forged Titanium Stg 11 - 169mm",yes,yes,yes,Wheels,"Skiffs 80a",yes,yes,yes,,,,,,,,variable,,,publish,3,hibiscus-complet,,,hibiscus-complet,0,open,closed,20170405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906,"Hibiscus Complet",,,20170405,product,http://www.zenitboards.com/product/hibiscus-complet/?attribute_pa_trucks=independent-forged-titanium-stg-11-169mm&attribute_pa_wheels=kilmer-80a,1694,1694-1906,,,,instock,,,,,Trucks,"Independent - Forged Titanium Stg 11 - 169mm",yes,yes,yes,Wheels,"Kilmer 80a",yes,yes,yes,,,,,,,,variable,,,publish,3,hibiscus-complet,,,hibiscus-complet,0,open,closed,20170405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1907,"Hibiscus Complet",,,20170405,product,http://www.zenitboards.com/product/hibiscus-complet/?attribute_pa_trucks=independent-forged-titanium-stg-11-169mm&attribute_pa_wheels=keanu86a,1694,1694-1907,,,,instock,,,,,Trucks,"Independent - Forged Titanium Stg 11 - 169mm",yes,yes,yes,Wheels,"Orangatang Keanu 86a 66mm",yes,yes,yes,,,,,,,,variable,,,publish,3,hibiscus-complet,,,hibiscus-complet,0,open,closed,20170405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1908,"Hibiscus Complet",,,20170405,product,http://www.zenitboards.com/product/hibiscus-complet/?attribute_pa_trucks=independent-forged-titanium-stg-11-169mm&attribute_pa_wheels=keanu83a,1694,1694-1908,,,,instock,,,,,Trucks,"Independent - Forged Titanium Stg 11 - 169mm",yes,yes,yes,Wheels,"Orangatang Keanu 83a 66mm",yes,yes,yes,,,,,,,,variable,,,publish,3,hibiscus-complet,,,hibiscus-complet,0,open,closed,20170405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1909,"Hibiscus Complet",,,20170405,product,http://www.zenitboards.com/product/hibiscus-complet/?attribute_pa_trucks=independent-forged-titanium-stg-11-169mm&attribute_pa_wheels=keanu80a,1694,1694-1909,,,,instock,,,,,Trucks,"Independent - Forged Titanium Stg 11 - 169mm",yes,yes,yes,Wheels,"Orangatang Keanu 80a 66mm",yes,yes,yes,,,,,,,,variable,,,publish,3,hibiscus-complet,,,hibiscus-complet,0,open,closed,20170405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
