id,Title,Content,SKU,"Product Type","Parent Product ID",Test,Trucks,Wheels,"Product Attributes","Regular Price"
1468,"Hibiscus complete",,,variable,332,,"Paris Street Trucks RAW 169mm TKP","Kegels 80a",,
1467,"Hibiscus complete",,,variable,332,,"Paris Trucks Black 150mm 50° RKP","Kegels 80a",,
1466,"Hibiscus complete",,,variable,332,,"Paris Trucks Matt Kienzle Signature 180mm 50° RKP","Kegels 80a",,
1465,"Hibiscus complete",,,variable,332,,"Paris Trucks Satin Red 180mm 50° RKP","Kegels 80a",,
1464,"Hibiscus complete",,,variable,332,,"Paris Trucks Gold 180mm 43° RKP","Kegels 80a",,
1060,"Hibiscus complete",,,variable,332,,"Paris Trucks Satin Blue 180mm 50° RKP","Kegels 80a",,80
1061,"Hibiscus complete",,,variable,332,,"Paris Trucks Matte Black 180mm 50° RKP","Kegels 80a",,80
1057,"Hibiscus complete",,,variable,332,,"Paris Trucks Savants Electro Luxe 180mm 43° RKP","Kegels 80a",,200
1058,"Hibiscus complete",,,variable,332,,"Paris Trucks Savants Electro Luxe 165mm 43° RKP","Kegels 80a",,200
1056,"Hibiscus complete",,,variable,332,,"Paris Trucks Savants Electro Luxe 180mm 50° RKP","Kegels 80a",,80
1052,"Hibiscus complete",,,variable,332,,"Paris Trucks Savants Gunmetal Grey 180mm 50° RKP","Kegels 80a",,80
1053,"Hibiscus complete",,,variable,332,,"Paris Trucks Savants Gunmetal Grey 180mm 43° RKP","Kegels 80a",,80
1055,"Hibiscus complete",,,variable,332,,"Paris Trucks Savants Gunmetal Grey 165mm 43° RKP","Kegels 80a",,80
1054,"Hibiscus complete",,,variable,332,,"Paris Trucks Savants Gunmetal grey 165mm 50° RKP","Kegels 80a",,80
1048,"Hibiscus complete",,,variable,332,,"Paris Trucks Black 150mm 50° RKP","Kegels 83a",,80
1051,"Hibiscus complete",,,variable,332,,"Paris Trucks Tiffany White 180mm 50° RKP","Kegels 80a",,80
1047,"Hibiscus complete",,,variable,332,,"Paris Trucks Gold 180mm 43° RKP","Kegels 83a",,80
1050,"Hibiscus complete",,,variable,332,,"Paris Trucks White 180mm 43° RKP","Kegels 80a",,80
1049,"Hibiscus complete",,,variable,332,,"Paris Street Trucks RAW 169mm TKP","Kegels 83a",,80
1046,"Hibiscus complete",,,variable,332,,"Paris Trucks Matt Kienzle Signature 180mm 50° RKP","Kegels 83a",,80
1044,"Hibiscus complete",,,variable,332,,"Paris Trucks Satin Blue 180mm 50° RKP","Kegels 83a",,80
1045,"Hibiscus complete",,,variable,332,,"Paris Trucks Matte Black 180mm 50° RKP","Kegels 83a",,80
1043,"Hibiscus complete",,,variable,332,,"Paris Trucks Satin Red 180mm 50° RKP","Kegels 83a",,80
1042,"Hibiscus complete",,,variable,332,,"Paris Trucks Savants Electro Luxe 165mm 43° RKP","Kegels 83a",,80
1040,"Hibiscus complete",,,variable,332,,"Paris Trucks Savants Electro Luxe 180mm 50° RKP","Kegels 83a",,80
1041,"Hibiscus complete",,,variable,332,,"Paris Trucks Savants Electro Luxe 180mm 43° RKP","Kegels 83a",,80
1039,"Hibiscus complete",,,variable,332,,"Paris Trucks Savants Gunmetal Grey 165mm 43° RKP","Kegels 83a",,80
1034,"Hibiscus complete",,,variable,332,,"Paris Trucks White 180mm 43° RKP","Kegels 83a",,80
1035,"Hibiscus complete",,,variable,332,,"Paris Trucks Tiffany White 180mm 50° RKP","Kegels 83a",,80
1037,"Hibiscus complete",,,variable,332,,"Paris Trucks Savants Gunmetal Grey 180mm 43° RKP","Kegels 83a",,80
1038,"Hibiscus complete",,,variable,332,,"Paris Trucks Savants Gunmetal grey 165mm 50° RKP","Kegels 83a",,80
1036,"Hibiscus complete",,,variable,332,,"Paris Trucks Savants Gunmetal Grey 180mm 50° RKP","Kegels 83a",,80
1032,"Hibiscus complete",,,variable,332,,"Paris Trucks Black 150mm 50° RKP","Kilmer 80a",,80
1031,"Hibiscus complete",,,variable,332,,"Paris Trucks Gold 180mm 43° RKP","Kilmer 80a",,80
1030,"Hibiscus complete",,,variable,332,,"Paris Trucks Matt Kienzle Signature 180mm 50° RKP","Kilmer 80a",,80
1029,"Hibiscus complete",,,variable,332,,"Paris Trucks Matte Black 180mm 50° RKP","Kilmer 80a",,80
1033,"Hibiscus complete",,,variable,332,,"Paris Street Trucks RAW 169mm TKP","Kilmer 80a",,80
1028,"Hibiscus complete",,,variable,332,,"Paris Trucks Satin Blue 180mm 50° RKP","Kilmer 80a",,80
1026,"Hibiscus complete",,,variable,332,,"Paris Trucks Savants Electro Luxe 165mm 43° RKP","Kilmer 80a",,80
